Title,Event Name,Category,Institution,Recurrence,Typical Month(s),Typical Week,Typical Day,Trigger,Confidence,Precedent Count,Sector Relevance,Client Relevance,Clash Risk,Coverage Volume,Media Angle,Analyst Action,Verification URL,Last Verified,Source Briefings,Active,Notes
FCA Business Plan,FCA Business Plan,Regulatory,Financial Conduct Authority,Annual,March,Week 2,Variable,Annual publication cycle,High,5,All,All,Often coincides with Spring Statement and Q1 results season,High,National titles lead on regulatory priorities. FT focuses on enforcement themes.,Check fca.org.uk/publications 2 weeks ahead. Prepare regulatory priorities briefing.,https://www.fca.org.uk/publications/corporate-documents/fca-business-plan,May 2026,LBG briefings 2022–2026,Yes,Published every March since 2017. Sets the tone for FCA enforcement priorities for the year.
FCA Dear CEO Letters,FCA Dear CEO Letters,Regulatory,Financial Conduct Authority,Annual,January,Weeks 1-2,Variable,Post-Christmas regulatory reset,Medium,4,All,All,Often coincides with January MPC and early results season,High,FT and trade press lead. Consumer champions pick up on retail banking expectations.,Monitor FCA website from 2 Jan. Prepare sector-specific briefing templates.,https://www.fca.org.uk/publications/correspondence/dear-ceo-letters,May 2026,LBG briefings Jan 2022–2026,Yes,"Typically sector-specific letters to banking, insurance, wealth. Not always all sectors each year."
FCA Regulatory Initiatives Grid,FCA Regulatory Initiatives Grid,Regulatory,Financial Conduct Authority,Annual,December,Week 2,Variable,Year-end regulatory publishing rush,High,4,All,All,Coincides with year-end FCA/PRA publication cluster,Medium,Trade press leads. Less consumer media unless a major initiative is highlighted.,Check fca.org.uk in first week of December. Flag key upcoming initiatives.,https://www.fca.org.uk/publications/corporate-documents/regulatory-initiatives-grid,May 2026,LBG briefings Dec 2022–2025,Yes,Joint publication with PRA. Covers next 2 years of planned regulatory activity.
FCA Annual Report & Accounts,FCA Annual Report & Accounts,Regulatory,Financial Conduct Authority,Annual,July,Week 2-3,Variable,Annual publication cycle,High,4,All,All,Often coincides with Mansion House speech week,Medium,FT and trade press. Coverage focuses on enforcement stats and fines.,Monitor fca.org.uk from July Week 1. Cross-reference with enforcement notices.,https://www.fca.org.uk/publications/corporate-documents/fca-annual-report-accounts,May 2026,LBG briefings Jul 2022–2025,Yes,Includes enforcement action statistics — key for comparing LBG vs sector peers.
PRA Stress Test Results,PRA Stress Test Results,Regulatory,Prudential Regulation Authority,Annual,November/December,Variable,Variable,Post-results season regulatory cycle,Medium,3,Banking · Insurance,LBG · Generic Finance,Often coincides with year-end FCA publication cluster,High,FT front page if any bank fails. National titles focus on consumer impact.,Monitor PRA website from November. Check whether LBG is included in scope.,https://www.bankofengland.co.uk/stress-testing,May 2026,LBG briefings 2022–2025,Yes,Not all banks included every year. LBG typically included in major stress tests.
FCA Consumer Duty Annual Report,FCA Consumer Duty Annual Report,Regulatory,Financial Conduct Authority,Annual,H2,Variable,Variable,Post-implementation review cycle,Low,1,All,All,No established clash pattern yet,Medium,Consumer media and trade press. Focus on outcomes measurement.,Monitor FCA speeches and press releases from July onwards.,https://www.fca.org.uk/consumers/consumer-duty,May 2026,LBG briefings 2024–2026,Yes,Consumer Duty implemented July 2023. Annual review cycle still establishing itself.
FOS Annual Complaints Data,FOS Annual Complaints Data,Regulatory,Financial Ombudsman Service,Annual,April,Week 3,Variable,End of FOS financial year (March),High,4,All,All,Often coincides with Q1 results season,High,National titles lead on worst offenders. FT focuses on institutional response.,Prepare LBG complaints position ahead of publication. Check FOS website from April Week 1.,https://www.financial-ombudsman.org.uk/data-insight/complaints-data,May 2026,LBG briefings Apr 2022–2026,Yes,Lloyds Banking Group typically features prominently due to scale. Motor finance complaints rising.
FOS Ombudsman News,FOS Ombudsman News,Regulatory,Financial Ombudsman Service,Quarterly,January · April · July · October,Week 2,Variable,Quarterly publication cycle,Medium,8,All,All,No established clash pattern,Low,Trade press and consumer media. Lower profile than annual complaints data.,Monitor FOS website at start of each quarter.,https://www.financial-ombudsman.org.uk/publications/ombudsman-news,May 2026,LBG briefings 2022–2026,Yes,Quarterly newsletter format. Contains case studies and thematic reviews.
PRA/FCA Annual Supervision Report,PRA/FCA Annual Supervision Report,Regulatory,PRA / FCA,Annual,Q3,Variable,Variable,Annual publication cycle,Low,2,All,All,No established clash pattern,Low,Trade press only. Low consumer media profile.,Monitor both PRA and FCA websites from July.,https://www.bankofengland.co.uk/prudential-regulation,May 2026,LBG briefings 2022–2025,Yes,Publication timing varies. Lower media profile than standalone regulatory announcements.
ICO Annual Report,ICO Annual Report,Regulatory,Information Commissioner's Office,Annual,July,Week 1-2,Variable,Annual publication cycle,Medium,3,All,All,Often coincides with Mansion House speech week,Low,Trade press and data/tech media. Consumer media only if major enforcement action highlighted.,Monitor ICO website from July. Note enforcement statistics for banking sector.,https://ico.org.uk/about-the-ico/our-information/annual-report/,May 2026,LBG briefings Jul 2022–2025,Yes,Includes data breach enforcement statistics. Growing relevance as financial services digitalise.
